comments,id,value,user_id
"Of what code is available in the zip file, most of it is understandable. The devise gem seems unnecessary to their implementation however.",1158767,-1,8049
"Though not much ""hand writed"" but still great code with good project structure.",1169987,1,8049
Github link is not submitted. I downloaded the repo and It has barely 4 commits with basic scaffolds and schema generated for realtors and houses  ,1171310,-1,8049
Not uploaded on git.,1159291,1,8049
"There is no Github link provided. Instead the code was zipped in an archive and posted on Expertizza. The code has no implementation of any functionality whatsoever, however, 'scaffold' code files exist in the zip with nil developer implementation. Code for 'house' is added though.",1174425,1,8049
I Don't see the GIT Link here. Requesting to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders,1157006,1,8049
The git repository link is not provided. A zip file is provided instead.,1162985,1,8049
"No readme, or git link, code is difficult to sort through from the zip file.",1158769,1,8049
Can not load the online page.,1169989,1,8049
Cannot run the app,1171312,1,8049
No readme file found ,1159293,1,8049
"The project is not deployed on either of mentioned cloud platforms such as Heroku, AWS or VCL. Instead an locally run server's IP link is provided, which doesn't seem to work. As a result, I cannot test the interface at all. No README is provided as well.",1174427,1,8049
I Don't see the Deployment URL to comment on this and rest other UI questions. Requesting to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders,1157008,1,8049
The link seems to be a local deployment.,1162987,-1,8049
All tests in the zip file are scaffold generated.,1158822,-1,8049
"Yes, the house controller has been tested.",1170042,-1,8049
No testing has been done apart from the auto-generated tests.,1171365,-1,8049
Test cases for 'house controller' have been implemented in the code. No test cases for model exist.,1174480,1,8049
I Don't see the GIT Link to comment on this. Requesting the Team to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders  ,1157061,1,8049
the link to git is not provided .,1163040,1,8049
No git link available to track progress.,1158823,1,8049
Can not tell without a git link.,1170043,1,8049
"Only 4 commits, No Github link. Hard to review. Please update the Submission with a github link so other reviewers can maybe give some proepr feedback after testing the app.    ",1171366,1,8049
The zip posted doesn't seem to be updated again later after 1st Oct,1174481,-1,8049
I Don't see the GIT Link to comment on this. Requesting the Team to upload the GIT Link and Deployment URL in Expertiza instead of the Project Folders,1157062,1,8049
